 &Age[yrs]  &Fe        
 &7.000E+06 &0.000E+00
 &9.074E+06 &0.000E+00
 &1.176E+07 &0.000E+00
 &1.525E+07 &0.000E+00
 &1.977E+07 &0.000E+00
 &2.563E+07 &0.000E+00
 &3.322E+07 &0.000E+00
 &4.307E+07 &6.108E-06
 &5.583E+07 &2.385E-04
 &7.237E+07 &9.555E-04
 &9.382E+07 &2.434E-03
 &1.216E+08 &5.070E-03
 &1.577E+08 &9.417E-03
 &2.044E+08 &1.623E-02
 &2.649E+08 &2.646E-02
 &3.435E+08 &4.129E-02
 &4.452E+08 &6.112E-02
 &5.772E+08 &8.373E-02
 &7.482E+08 &1.087E-01
 &9.700E+08 &1.356E-01
 &1.257E+09 &1.635E-01
 &1.630E+09 &1.914E-01
 &2.113E+09 &2.178E-01
 &2.739E+09 &2.414E-01
 &3.551E+09 &2.607E-01
 &4.603E+09 &2.748E-01
 &5.967E+09 &2.835E-01
 &7.736E+09 &2.874E-01
 &1.003E+10 &2.878E-01
 &1.300E+10 &2.886E-01
